기준_날짜,미세먼지,초미세먼지,지점,지점명,평균기온(°C),일강수량(mm)
2024-03-17,104,17,108,서울,8.8,0.1
2024-03-18,27,6,108,서울,7.1,
2024-03-19,51,24,108,서울,6.7,0.2
2024-03-20,39,21,108,서울,4.4,
2024-03-21,35,17,108,서울,5,
2024-03-22,44,16,108,서울,10.4,5.4
2024-03-23,62,23,108,서울,13,0.1
2024-03-24,40,18,108,서울,16.2,
2024-03-25,25,9,108,서울,10.6,5.1
2024-03-26,4,1,108,서울,7.4,11.5
2024-03-27,24,15,108,서울,10.4,
2024-03-28,25,11,108,서울,10.3,1.9
2024-03-29,277,43,108,서울,7.6,1.4
2024-03-30,104,23,108,서울,8.8,
2024-03-31,50,10,108,서울,10.6,
,,,,,,
