,대여소_ID,주소1,주소2,위도,경도,isin강서,주소,용도지역_1,용도지역_2,용도지역_3,용도지역_4,용도지역
120,ST-2481,서울특별시 강서구 화곡로228,,37.545368,126.844704,강서,서울 강서구 화곡로 228,제3종일반주거지역,도시지역,건축선,중요시설물보호지구(공항),
121,ST-2480,서울특별시 강서구 화곡로 227,,37.545555,126.844498,강서,서울 강서구 화곡로 227,제3종일반주거지역,도시지역,건축선,중요시설물보호지구(공항),
122,ST-2479,서울특별시 강서구 양천로590,,37.55603,126.864296,강서,서울 강서구 양천로 590,도시지역,준공업지역,건축선,중요시설물보호지구(공항),
123,ST-2478,서울특별시 강서구 양천로 743 나이아가라관광호텔,,37.54903,126.878365,강서,서울 강서구 양천로 743,제3종일반주거지역,도시관리계획 입안중,도시지역,역사문화특화경관지구,
124,ST-2477,서울특별시 강서구 마곡동 726-16,,37.564976,126.817406,강서,서울 강서구 마곡동 726-16,도시지역,제2종일반주거지역,중요시설물보호지구(공항),중로2류(폭 15m~20m),
125,ST-2476,서울특별시 강서구 공항동9-12,,37.561134,126.816101,강서,서울 강서구 공항동 9-12,제3종일반주거지역,도시관리계획 입안중,도시지역,건축선,
126,ST-2475,서울특별시 강서구 양천로656,,37.552696,126.869751,강서,서울 강서구 양천로 656,도시지역,준공업지역,건축선,도로,
127,ST-2419,서울특별시 강서구 내발산동 751-6,,37.55135,126.824936,강서,서울 강서구 내발산동 751-6,제3종일반주거지역,도시지역,제1종일반주거지역,중요시설물보호지구(공항),
128,ST-2412,서울특별시 강서구 내발산동 752-1,,37.552559,126.823112,강서,서울 강서구 내발산동 752-1,제3종일반주거지역,제2종일반주거지역,도시지역,중요시설물보호지구(공항),
129,ST-2411,서울특별시 강서구 마곡서1로 60,,37.562092,126.820969,강서,서울 강서구 마곡서1로 60,도시지역,준주거지역,중요시설물보호지구(공항),지구단위계획구역,
130,ST-2399,서울특별시 강서구 강서로 532 동신아파트.대아아파트,,37.572044,126.844002,강서,서울 강서구 강서로 532,제3종일반주거지역,도시지역,중요시설물보호지구(공항),지구단위계획구역,
