,대여소_ID,주소1,주소2,주소,분류,용도지역,
104,ST-2539,서울특별시 강서구 화곡로 215 강서문화센터,,서울 강서구 화곡로 215,주거지역,주거지역,
105,ST-2538,서울특별시 강서구 공항대로 260 이화의대부속서울병원,,서울 강서구 공항대로 260,상업지역,상업지역,
106,ST-2495,서울특별시 강서구 방화동 874-1,,서울 강서구 방화동 874-1,주거지역,주거지역,
107,ST-2494,서울특별시 강서구 염창동 223-4번지,,서울 강서구 염창동 223-4,상업지역,상업지역,
108,ST-2493,서울특별시 강서구 방화동 57-5번지,,서울 강서구 방화동 57-5, ,,녹지
109,ST-2492,서울특별시 강서구 가양동 1456-6,,서울 강서구 가양동 1456-6, ,주거지역,
110,ST-2491,서울특별시 강서구 양천로47길 112,,서울 강서구 양천로47길 112,상업지역,상업지역,
111,ST-2490,서울특별시 강서구 양천로47길 90,,서울 강서구 양천로47길 90,상업지역,상업지역,
112,ST-2489,서울특별시 강서구 양천로47길 24,,서울 강서구 양천로47길 24,상업지역,상업지역,
113,ST-2488,서울특별시 강서구 금낭화로26가길 130,,서울 강서구 금낭화로26가길 130, , ,
114,ST-2487,서울특별시 강서구 공항대로45길68-6,,서울 강서구 공항대로45길 68-6,상업지역,상업지역,
115,ST-2486,서울특별시 강서구 방화동621-6,,서울 강서구 방화동 621-6,상업지역,상업지역,
116,ST-2485,서울특별시 강서구 방화동635-26,,서울 강서구 방화동 635-26,주거지역,주거지역,
117,ST-2484,서울특별시 강서구 방화동651-1,,서울 강서구 방화동 651-1, ,주거지역,
118,ST-2483,서울특별시 강서구 강서로74길58,,서울 강서구 강서로74길 58,상업지역,상업지역,
119,ST-2482,서울특별시 강서구 방화대로319,,서울 강서구 방화대로 319,주거지역,주거지역,
120,ST-2481,서울특별시 강서구 화곡로228,,서울 강서구 화곡로 228,주거지역,주거지역,
121,ST-2480,서울특별시 강서구 화곡로 227,,서울 강서구 화곡로 227,주거지역,주거지역,
122,ST-2479,서울특별시 강서구 양천로590,,서울 강서구 양천로 590,상업지역,상업지역,
123,ST-2478,서울특별시 강서구 양천로 743 나이아가라관광호텔,,서울 강서구 양천로 743,주거지역,주거지역,
124,ST-2477,서울특별시 강서구 마곡동 726-16,,서울 강서구 마곡동 726-16,주거지역,주거지역,
125,ST-2476,서울특별시 강서구 공항동9-12,,서울 강서구 공항동 9-12,주거지역,주거지역,
126,ST-2475,서울특별시 강서구 양천로656,,서울 강서구 양천로 656,상업지역,상업지역,
127,ST-2419,서울특별시 강서구 내발산동 751-6,,서울 강서구 내발산동 751-6,주거지역,주거지역,
128,ST-2412,서울특별시 강서구 내발산동 752-1,,서울 강서구 내발산동 752-1,주거지역,주거지역,
129,ST-2411,서울특별시 강서구 마곡서1로 60,,서울 강서구 마곡서1로 60,주거지역,주거지역,
130,ST-2399,서울특별시 강서구 강서로 532 동신아파트.대아아파트,,서울 강서구 강서로 532,주거지역,주거지역,
131,ST-2059,서울특별시 강서구 화곡로65길 62 강서구민올림픽체육센터,,서울 강서구 화곡로65길 62,주거지역,주거지역,
132,ST-2058,서울특별시 강서구 수명로2길 105 마곡수명산파크5단지아파트,,서울 강서구 수명로2길 105,주거지역,주거지역,
133,ST-2057,서울특별시 강서구 마곡동 811-6,,서울 강서구 마곡동 811-6, ,주거지역,
134,ST-2056,서울특별시 강서구 내발산동 741-2,,서울 강서구 내발산동 741-2,주거지역,주거지역,
135,ST-2055,서울특별시 강서구 화곡동 663-15,,서울 강서구 화곡동 663-15,주거지역,주거지역,
136,ST-2054,서울특별시 강서구 화곡동 662-6,,서울 강서구 화곡동 662-6,주거지역,주거지역,
137,ST-2053,서울특별시 강서구 마곡서로 133 마곡엠밸리7단지,,서울 강서구 마곡서로 133,주거지역,주거지역,
138,ST-2052,서울특별시 강서구 마곡서로 101 동익드미라벨복합빌딩,,서울 강서구 마곡서로 101,주거지역,주거지역,
139,ST-2051,서울특별시 강서구 마곡동 741-1,,서울 강서구 마곡동 741-1,주거지역,주거지역,
140,ST-2050,서울특별시 강서구 마곡중앙1로 71 마곡 13단지 힐스테이트 마스터,,서울 강서구 마곡중앙1로 71,주거지역,주거지역,
141,ST-2049,서울특별시 강서구 마곡동 728-352,,서울 강서구 마곡동 728-352, ,상업지역,
142,ST-2048,서울특별시 강서구 마곡동 728-46,,서울 강서구 마곡동 728-46, ,주거지역,
143,ST-2047,서울특별시 강서구 마곡동 769-4,,서울 강서구 마곡동 769-4, ,상업지역,
144,ST-2046,서울특별시 강서구 마곡중앙로 177 더넥센유니버시티,,서울 강서구 마곡중앙로 177,상업지역,상업지역,
